model,coverage_question_count,joined_prompt_question_count,coverage_category_count,coverage_task_count,coding_question_count,data_analysis_question_count,instruction_following_question_count,language_question_count,math_question_count,reasoning_question_count,raw_judgment_count,deduplicated_judgment_count,average_score,joined_average_score,full_success_rate,joined_full_success_rate,missing_question_count,missing_rate,has_large_missing
Meta-Llama-3.1-8B-Instruct-Turbo,294,294,3,6,128,0,26,140,0,0,294,294,0.2393652741195386,0.2393652741195386,0.19387755102040816,0.19387755102040816,200,0.4048582995951417,True
Mistral-7B-Instruct-v0.2,294,294,3,6,128,0,26,140,0,0,294,294,0.16535953482911261,0.16535953482911261,0.1326530612244898,0.1326530612244898,200,0.4048582995951417,True
Mistral-7B-Instruct-v0.3,294,294,3,6,128,0,26,140,0,0,294,294,0.15657010502989335,0.15657010502989335,0.12244897959183673,0.12244897959183673,200,0.4048582995951417,True
Mixtral-8x22B-Instruct-v0.1,254,254,3,6,88,0,26,140,0,0,254,254,0.33536049029541126,0.33536049029541126,0.2677165354330709,0.2677165354330709,240,0.48582995951417,True
Mixtral-8x7B-Instruct-v0.1,254,254,3,6,88,0,26,140,0,0,254,254,0.1773827977634809,0.1773827977634809,0.1377952755905512,0.1377952755905512,240,0.48582995951417,True
OpenHermes-2.5-Mistral-7B,294,294,3,6,128,0,26,140,0,0,294,294,0.17616358323550277,0.17616358323550277,0.14625850340136054,0.14625850340136054,200,0.4048582995951417,True
Phi-3-medium-128k-instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.2264443178412587,0.2264443178412587,0.19047619047619047,0.19047619047619047,200,0.4048582995951417,True
Phi-3-medium-4k-instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.20818876393586838,0.20818876393586838,0.17006802721088435,0.17006802721088435,200,0.4048582995951417,True
Phi-3-mini-128k-instruct,294,294,3,6,128,0,26,140,0,0,422,294,0.14886906439329467,0.14886906439329467,0.12244897959183673,0.12244897959183673,200,0.4048582995951417,True
Phi-3-mini-4k-instruct,294,294,3,6,128,0,26,140,0,0,422,294,0.16928777880931425,0.16928777880931425,0.14285714285714285,0.14285714285714285,200,0.4048582995951417,True
Phi-3-small-128k-instruct,294,294,3,6,128,0,26,140,0,0,372,294,0.2558279259875478,0.2558279259875478,0.21768707482993196,0.21768707482993196,200,0.4048582995951417,True
Phi-3-small-8k-instruct,294,294,3,6,128,0,26,140,0,0,372,294,0.21804481710768525,0.21804481710768525,0.18027210884353742,0.18027210884353742,200,0.4048582995951417,True
Phi-3.5-MoE-instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.23986178561258412,0.23986178561258412,0.19387755102040816,0.19387755102040816,200,0.4048582995951417,True
Phi-3.5-mini-instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.1830483023633807,0.1830483023633807,0.14965986394557823,0.14965986394557823,200,0.4048582995951417,True
QwQ-32B-Preview,318,318,3,6,128,0,50,140,0,0,318,318,0.32853468246392875,0.32853468246392875,0.25157232704402516,0.25157232704402516,176,0.3562753036437247,True
Qwen1.5-0.5B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.03512996437642705,0.03512996437642705,0.013605442176870748,0.013605442176870748,200,0.4048582995951417,True
Qwen1.5-1.8B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.03938261234129606,0.03938261234129606,0.02040816326530612,0.02040816326530612,200,0.4048582995951417,True
Qwen1.5-110B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.20964580657587828,0.20964580657587828,0.16326530612244897,0.16326530612244897,200,0.4048582995951417,True
Qwen1.5-4B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.08222691773257369,0.08222691773257369,0.061224489795918366,0.061224489795918366,200,0.4048582995951417,True
Qwen1.5-72B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.21884944928514927,0.21884944928514927,0.18027210884353742,0.18027210884353742,200,0.4048582995951417,True
Qwen1.5-7B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.11536761997449925,0.11536761997449925,0.08503401360544217,0.08503401360544217,200,0.4048582995951417,True
Qwen2-0.5B-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.048580501055596394,0.048580501055596394,0.030612244897959183,0.030612244897959183,200,0.4048582995951417,True
Qwen2-1.5B-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.0729576593620805,0.0729576593620805,0.05442176870748299,0.05442176870748299,200,0.4048582995951417,True
Qwen2-72B-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.3526008504453004,0.3526008504453004,0.282312925170068,0.282312925170068,200,0.4048582995951417,True
Qwen2-7B-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.22057792924644454,0.22057792924644454,0.1870748299319728,0.1870748299319728,200,0.4048582995951417,True
Qwen2.5-72B-Instruct-Turbo,394,394,3,7,128,0,76,190,0,0,394,394,0.49638436108317,0.49638436108317,0.41624365482233505,0.41624365482233505,100,0.20242914979757085,True
Qwen2.5-7B-Instruct-Turbo,394,394,3,7,128,0,76,190,0,0,522,394,0.308664922590207,0.308664922590207,0.2512690355329949,0.2512690355329949,100,0.20242914979757085,True
Qwen2.5-Coder-32B-Instruct,394,394,3,7,128,0,76,190,0,0,394,394,0.42881424715133887,0.42881424715133887,0.35786802030456855,0.35786802030456855,100,0.20242914979757085,True
Reflection-Llama-3.1-70B,294,294,3,6,128,0,26,140,0,0,294,294,0.2972757950250048,0.2972757950250048,0.23129251700680273,0.23129251700680273,200,0.4048582995951417,True
Smaug-Qwen2-72B-Instruct,40,40,1,2,40,0,0,0,0,0,40,40,0.325,0.325,0.325,0.325,454,0.9190283400809717,True
Starling-LM-7B-beta,294,294,3,6,128,0,26,140,0,0,294,294,0.1676038678793994,0.1676038678793994,0.1360544217687075,0.1360544217687075,200,0.4048582995951417,True
Yi-6B-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.06826063603746417,0.06826063603746417,0.047619047619047616,0.047619047619047616,200,0.4048582995951417,True
acm_rewrite_qwen2-72B-Chat,254,254,3,6,88,0,26,140,0,0,254,254,0.37891496124479956,0.37891496124479956,0.30708661417322836,0.30708661417322836,240,0.48582995951417,True
amazon.nova-lite-v1:0,418,318,3,6,128,0,50,240,0,0,418,418,0.3164995254548731,0.31562027866080766,0.24880382775119617,0.2578616352201258,76,0.15384615384615385,False
amazon.nova-micro-v1:0,418,318,3,6,128,0,50,240,0,0,418,418,0.2402453445781807,0.218977623481485,0.17942583732057416,0.16037735849056603,76,0.15384615384615385,False
amazon.nova-pro-v1:0,418,318,3,6,128,0,50,240,0,0,418,418,0.4394595680876545,0.4314717989485415,0.34688995215311,0.3553459119496855,76,0.15384615384615385,False
azerogpt,418,318,3,6,128,0,50,240,0,0,418,418,0.329887735136195,0.31958959152122585,0.24880382775119617,0.25157232704402516,76,0.15384615384615385,False
chatgpt-4o-latest-2025-01-29,418,318,3,6,128,0,50,240,0,0,418,418,0.5446162515179883,0.5598935311656161,0.41626794258373206,0.4528301886792453,76,0.15384615384615385,False
chatgpt-4o-latest-2025-01-30,318,318,3,6,128,0,50,140,0,0,318,318,0.504658027382125,0.504658027382125,0.4119496855345912,0.4119496855345912,176,0.3562753036437247,True
chatgpt-4o-latest-2025-03-27,494,394,3,7,128,0,76,290,0,0,494,494,0.5880333845107314,0.5964783148773433,0.46558704453441296,0.49238578680203043,0,0.0,False
claude-3-5-haiku-20241022,494,394,3,7,128,0,76,290,0,0,494,494,0.4646478627238914,0.4646152408955706,0.37044534412955465,0.37817258883248733,0,0.0,False
claude-3-5-opus-20240229,4,0,1,2,0,0,0,4,0,0,4,4,0.014154704944178614,,0.0,,490,0.9919028340080972,True
claude-3-5-sonnet-20240620,394,394,3,7,128,0,76,190,0,0,394,394,0.5832890545880618,0.5832890545880618,0.4796954314720812,0.4796954314720812,100,0.20242914979757085,True
claude-3-5-sonnet-20241022,494,394,3,7,128,0,76,290,0,0,494,494,0.607308180479949,0.6088283083946576,0.4676113360323887,0.49746192893401014,0,0.0,False
claude-3-7-sonnet-20250219-base,418,318,3,6,128,0,50,240,0,0,418,418,0.6437991747444073,0.6359551698517875,0.5023923444976076,0.5314465408805031,76,0.15384615384615385,False
claude-3-7-sonnet-20250219-thinking-25k,318,318,3,6,128,0,50,140,0,0,318,318,0.6903984585742554,0.6903984585742554,0.60062893081761,0.60062893081761,176,0.3562753036437247,True
claude-3-7-sonnet-20250219-thinking-64k,418,318,3,6,128,0,50,240,0,0,418,418,0.6909756617179433,0.6983978725405036,0.562200956937799,0.610062893081761,76,0.15384615384615385,False
claude-3-haiku-20240307,394,394,3,7,128,0,76,190,0,0,394,394,0.31701713431001827,0.31701713431001827,0.24873096446700507,0.24873096446700507,100,0.20242914979757085,True
claude-3-opus-20240229,494,394,3,7,128,0,76,290,0,0,494,494,0.5089084726095007,0.4759893000268767,0.3805668016194332,0.3730964467005076,0,0.0,False
claude-3-sonnet-20240229,294,294,3,6,128,0,26,140,0,0,294,294,0.3580214273634403,0.3580214273634403,0.2891156462585034,0.2891156462585034,200,0.4048582995951417,True
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,294,294,3,6,128,0,26,140,0,0,294,294,0.500679136597213,0.500679136597213,0.43537414965986393,0.43537414965986393,200,0.4048582995951417,True
coding-meta-llama-3.1-70b-instruct-chk-50,294,294,3,6,128,0,26,140,0,0,294,294,0.432551553061807,0.432551553061807,0.35714285714285715,0.35714285714285715,200,0.4048582995951417,True
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,294,294,3,6,128,0,26,140,0,0,294,294,0.4289221187484145,0.4289221187484145,0.35374149659863946,0.35374149659863946,200,0.4048582995951417,True
command-a-03-2025,150,50,1,3,0,0,0,150,0,0,150,150,0.36696211821824287,0.2333333333333333,0.23333333333333334,0.14,344,0.6963562753036437,True
command-r-03-2024,344,344,3,6,128,0,26,190,0,0,344,344,0.17598726294718933,0.17598726294718933,0.13953488372093023,0.13953488372093023,150,0.30364372469635625,True
command-r-08-2024,494,394,3,7,128,0,76,290,0,0,494,494,0.2780466862960383,0.25749963995491704,0.2125506072874494,0.19796954314720813,0,0.0,False
command-r-plus-04-2024,394,394,3,7,128,0,76,190,0,0,394,394,0.29062464326358306,0.29062464326358306,0.22842639593908629,0.22842639593908629,100,0.20242914979757085,True
command-r-plus-08-2024,494,394,3,7,128,0,76,290,0,0,622,494,0.3274942445616453,0.31850537774807497,0.242914979757085,0.24111675126903553,0,0.0,False
deepseek-chat,394,394,3,7,128,0,76,190,0,0,444,394,0.4183346766583936,0.4183346766583936,0.3299492385786802,0.3299492385786802,100,0.20242914979757085,True
deepseek-coder,294,294,3,6,128,0,26,140,0,0,294,294,0.40525312985642775,0.40525312985642775,0.3435374149659864,0.3435374149659864,200,0.4048582995951417,True
deepseek-r1,418,318,3,6,128,0,50,240,0,0,418,418,0.5951092561622779,0.6300310635403417,0.48564593301435405,0.5471698113207547,76,0.15384615384615385,False
deepseek-r1-distill-llama-70b,418,318,3,6,128,0,50,240,0,0,418,418,0.42293891006040507,0.4364676319882839,0.33014354066985646,0.3553459119496855,76,0.15384615384615385,False
deepseek-r1-distill-qwen-32b,418,318,3,6,128,0,50,240,0,0,418,418,0.3768217926970884,0.39011173782803166,0.31100478468899523,0.330188679245283,76,0.15384615384615385,False
deepseek-r1-local,70,70,2,2,33,0,0,37,0,0,70,70,0.660264130357788,0.660264130357788,0.42857142857142855,0.42857142857142855,424,0.8582995951417004,True
deepseek-r1-local-2,318,318,3,6,128,0,50,140,0,0,318,318,0.6428845525614588,0.6428845525614588,0.5628930817610063,0.5628930817610063,176,0.3562753036437247,True
deepseek-v3,418,318,3,6,128,0,50,240,0,0,418,418,0.5466811505138875,0.5761738237153436,0.430622009569378,0.4779874213836478,76,0.15384615384615385,False
deepseek-v3-0324,418,318,3,6,128,0,50,240,0,0,418,418,0.6010573431436805,0.6386521786830638,0.48564593301435405,0.5471698113207547,76,0.15384615384615385,False
dracarys2-72b-instruct,418,318,3,6,128,0,50,240,0,0,418,418,0.4523449935777293,0.4824195166383744,0.35406698564593303,0.39937106918238996,76,0.15384615384615385,False
dracarys2-llama-3.1-70b-instruct,418,318,3,6,128,0,50,240,0,0,418,418,0.43534931242331204,0.41984000317779147,0.3349282296650718,0.33962264150943394,76,0.15384615384615385,False
gemini-1.5-flash-001,394,394,3,7,128,0,76,190,0,0,394,394,0.3631215519693949,0.3631215519693949,0.2868020304568528,0.2868020304568528,100,0.20242914979757085,True
gemini-1.5-flash-002,394,394,3,7,128,0,76,190,0,0,394,394,0.4287622346816389,0.4287622346816389,0.350253807106599,0.350253807106599,100,0.20242914979757085,True
gemini-1.5-flash-8b-001,150,50,1,3,0,0,0,150,0,0,150,150,0.22867841090078675,0.11833333333333335,0.14666666666666667,0.06,344,0.6963562753036437,True
gemini-1.5-flash-8b-exp-0827,394,394,3,7,128,0,76,190,0,0,394,394,0.3410098657157847,0.3410098657157847,0.2893401015228426,0.2893401015228426,100,0.20242914979757085,True
gemini-1.5-flash-8b-exp-0924,318,318,3,6,128,0,50,140,0,0,318,318,0.31747115076791615,0.31747115076791615,0.2578616352201258,0.2578616352201258,176,0.3562753036437247,True
gemini-1.5-flash-exp-0827,394,394,3,7,128,0,76,190,0,0,395,394,0.42246646615297956,0.42246646615297956,0.3401015228426396,0.3401015228426396,100,0.20242914979757085,True
gemini-1.5-pro-001,394,394,3,7,128,0,76,190,0,0,394,394,0.40324178963632823,0.40324178963632823,0.31725888324873097,0.31725888324873097,100,0.20242914979757085,True
gemini-1.5-pro-002,494,394,3,7,128,0,76,290,0,0,494,494,0.49399699024532495,0.5124452215041259,0.3724696356275304,0.41116751269035534,0,0.0,False
gemini-1.5-pro-exp-0801,294,294,3,6,128,0,26,140,0,0,295,294,0.47136749358161806,0.47136749358161806,0.3877551020408163,0.3877551020408163,200,0.4048582995951417,True
gemini-1.5-pro-exp-0827,394,394,3,7,128,0,76,190,0,0,398,394,0.49420584520632505,0.49420584520632505,0.3934010152284264,0.3934010152284264,100,0.20242914979757085,True
gemini-2.0-flash,100,0,1,2,0,0,0,100,0,0,100,100,0.5208072318735761,,0.35,,394,0.7975708502024291,True
gemini-2.0-flash-001,418,318,3,6,128,0,50,240,0,0,418,418,0.5267233940747184,0.5285838224398576,0.423444976076555,0.44654088050314467,76,0.15384615384615385,False
gemini-2.0-flash-exp,418,318,3,6,128,0,50,240,0,0,418,418,0.5060723403060738,0.5065247008082522,0.40669856459330145,0.4276729559748428,76,0.15384615384615385,False
gemini-2.0-flash-lite-001,418,318,3,6,128,0,50,240,0,0,418,418,0.44159162751103476,0.4599282930078929,0.35645933014354064,0.3867924528301887,76,0.15384615384615385,False
gemini-2.0-flash-lite-preview-02-05,418,318,3,6,128,0,50,240,0,0,418,418,0.45348605083703536,0.4596383464428826,0.37320574162679426,0.39622641509433965,76,0.15384615384615385,False
gemini-2.0-flash-thinking-exp-01-21,418,318,3,6,128,0,50,240,0,0,418,418,0.5214480350771147,0.5337792106204406,0.41626794258373206,0.449685534591195,76,0.15384615384615385,False
gemini-2.0-flash-thinking-exp-1219,418,318,3,6,128,0,50,240,0,0,418,418,0.5084049960171181,0.5004845555094045,0.4090909090909091,0.41823899371069184,76,0.15384615384615385,False
gemini-2.0-pro-exp-02-05,418,318,3,6,128,0,50,240,0,0,418,418,0.5837502917533287,0.5760302247694025,0.45454545454545453,0.4779874213836478,76,0.15384615384615385,False
gemini-2.5-pro-exp-03-25,418,318,3,6,128,0,50,240,0,0,418,418,0.740900651687544,0.7756040209384275,0.5980861244019139,0.6729559748427673,76,0.15384615384615385,False
gemini-exp-1114,394,394,3,7,128,0,76,190,0,0,396,394,0.5231203909725991,0.5231203909725991,0.434010152284264,0.434010152284264,100,0.20242914979757085,True
gemini-exp-1121,394,394,3,7,128,0,76,190,0,0,396,394,0.5129465941838515,0.5129465941838515,0.42385786802030456,0.42385786802030456,100,0.20242914979757085,True
gemini-exp-1206,418,318,3,6,128,0,50,240,0,0,418,418,0.6101934042765836,0.6091742885574379,0.48564593301435405,0.5157232704402516,76,0.15384615384615385,False
gemma-1.1-7b-it,294,294,3,6,128,0,26,140,0,0,294,294,0.14819222641959132,0.14819222641959132,0.11224489795918367,0.11224489795918367,200,0.4048582995951417,True
gemma-2-27b-it,494,394,3,7,128,0,76,290,0,0,494,494,0.39882912659847675,0.39800251540166287,0.30364372469635625,0.31218274111675126,0,0.0,False
gemma-2-9b-it,394,394,3,7,128,0,76,190,0,0,394,394,0.30618588877080793,0.30618588877080793,0.23096446700507614,0.23096446700507614,100,0.20242914979757085,True
gemma-3-12b-it,150,50,1,3,0,0,0,150,0,0,150,150,0.3126965618661763,0.26,0.2,0.16,344,0.6963562753036437,True
gemma-3-27b-it,418,318,3,6,128,0,50,240,0,0,418,418,0.439467126399172,0.42576258177630444,0.3492822966507177,0.3522012578616352,76,0.15384615384615385,False
gemma-3-4b-it,150,50,1,3,0,0,0,150,0,0,150,150,0.1505925822197743,0.10166666666666666,0.1,0.06,344,0.6963562753036437,True
gpt-3.5-turbo-0125,294,294,3,6,128,0,26,140,0,0,294,294,0.30601358846296356,0.30601358846296356,0.2619047619047619,0.2619047619047619,200,0.4048582995951417,True
gpt-3.5-turbo-1106,294,294,3,6,128,0,26,140,0,0,294,294,0.3036454939741843,0.3036454939741843,0.23469387755102042,0.23469387755102042,200,0.4048582995951417,True
gpt-4-0125-preview,394,394,3,7,128,0,76,190,0,0,394,394,0.4549211653953018,0.4549211653953018,0.3477157360406091,0.3477157360406091,100,0.20242914979757085,True
gpt-4-0613,294,294,3,6,128,0,26,140,0,0,294,294,0.46076539550735596,0.46076539550735596,0.37755102040816324,0.37755102040816324,200,0.4048582995951417,True
gpt-4-1106-preview,294,294,3,6,128,0,26,140,0,0,294,294,0.5001645087472764,0.5001645087472764,0.40476190476190477,0.40476190476190477,200,0.4048582995951417,True
gpt-4-turbo-2024-04-09,394,394,3,7,128,0,76,190,0,0,394,394,0.5062547788562698,0.5062547788562698,0.39593908629441626,0.39593908629441626,100,0.20242914979757085,True
gpt-4.5-preview-2025-02-27,418,318,3,6,128,0,50,240,0,0,418,418,0.6721814838552153,0.6884188798984677,0.5406698564593302,0.5880503144654088,76,0.15384615384615385,False
gpt-4o-2024-05-13,394,394,3,7,128,0,76,190,0,0,394,394,0.5435850063275266,0.5435850063275266,0.4416243654822335,0.4416243654822335,100,0.20242914979757085,True
gpt-4o-2024-08-06,494,394,3,7,128,0,76,290,0,0,494,494,0.5362268385153284,0.5463903136928274,0.4149797570850202,0.4416243654822335,0,0.0,False
gpt-4o-2024-11-20,494,394,3,7,128,0,76,290,0,0,494,494,0.5150768433889552,0.5222262280807293,0.402834008097166,0.42385786802030456,0,0.0,False
gpt-4o-mini-2024-07-18,494,394,3,7,128,0,76,290,0,0,494,494,0.40568716056468446,0.4158384236264286,0.3319838056680162,0.3477157360406091,0,0.0,False
grok-2,293,293,3,6,128,0,25,140,0,0,293,293,0.39051293280200006,0.39051293280200006,0.3174061433447099,0.3174061433447099,201,0.4068825910931174,True
grok-2-1212,418,318,3,6,128,0,50,240,0,0,418,418,0.5021803254044914,0.4959868795137114,0.3875598086124402,0.39937106918238996,76,0.15384615384615385,False
grok-2-mini,293,293,3,6,128,0,25,140,0,0,293,293,0.42440337732549754,0.42440337732549754,0.34812286689419797,0.34812286689419797,201,0.4068825910931174,True
grok-3,268,268,2,5,128,0,0,140,0,0,268,268,0.5261693691200002,0.5261693691200002,0.43656716417910446,0.43656716417910446,226,0.4574898785425101,True
grok-3-beta,393,393,3,7,128,0,75,190,0,0,393,393,0.5837878710519576,0.5837878710519576,0.48346055979643765,0.48346055979643765,101,0.20445344129554655,True
grok-3-mini-reasoning-beta,318,318,3,6,128,0,50,140,0,0,318,318,0.4990314193315587,0.4990314193315587,0.4119496855345912,0.4119496855345912,176,0.3562753036437247,True
grok-beta,418,318,3,6,128,0,50,240,0,0,418,418,0.49047223554906916,0.48107282385605726,0.3803827751196172,0.389937106918239,76,0.15384615384615385,False
hermes-3-llama-3.1-70b,293,293,3,6,128,0,25,140,0,0,293,293,0.3918148643252094,0.3918148643252094,0.31399317406143346,0.31399317406143346,201,0.4068825910931174,True
hunyuan-turbos-20250313,418,318,3,6,128,0,50,240,0,0,418,418,0.5218616006277007,0.5517327521225026,0.44019138755980863,0.4779874213836478,76,0.15384615384615385,False
lcb-math-qwen2-72b-instructv3-merged-50,293,293,3,6,128,0,25,140,0,0,293,293,0.3883769848722536,0.3883769848722536,0.32081911262798635,0.32081911262798635,201,0.4068825910931174,True
learnlm-1.5-pro-experimental,418,318,3,6,128,0,50,240,0,0,418,418,0.45915275665232747,0.4776083117581328,0.34210526315789475,0.3836477987421384,76,0.15384615384615385,False
llama-2-7b-chat-hf,15,15,1,1,15,0,0,0,0,0,15,15,0.0,,0.0,,479,0.9696356275303644,True
llama-3.1-nemotron-70b-instruct,293,293,3,6,128,0,25,140,0,0,293,293,0.36603852227961126,0.36603852227961126,0.2935153583617747,0.2935153583617747,201,0.4068825910931174,True
llama-3.3-70b-instruct-turbo,418,318,3,6,128,0,50,240,0,0,418,418,0.4507621274842652,0.44277874695946984,0.3444976076555024,0.3584905660377358,76,0.15384615384615385,False
llama-4-maverick-17b-128e-instruct,380,280,3,6,90,0,50,240,0,0,380,380,0.5239750492685067,0.5444592104727336,0.4131578947368421,0.45,114,0.23076923076923078,True
mathstral-7B-v0.1,293,293,3,6,128,0,25,140,0,0,293,293,0.1947945154121667,0.1947945154121667,0.16040955631399317,0.16040955631399317,201,0.4068825910931174,True
meta-llama-3-70b-instruct,15,15,1,1,15,0,0,0,0,0,15,15,0.2,0.2,0.2,0.2,479,0.9696356275303644,True
meta-llama-3-8b-instruct,15,15,1,1,15,0,0,0,0,0,15,15,0.2,0.2,0.2,0.2,479,0.9696356275303644,True
meta-llama-3.1-405b-instruct-turbo,418,318,3,6,128,0,50,240,0,0,418,418,0.4897991491539458,0.4869787282449923,0.37559808612440193,0.4025157232704403,76,0.15384615384615385,False
meta-llama-3.1-70b-instruct-turbo,418,318,3,6,128,0,50,240,0,0,418,418,0.42268469157053323,0.4074484843621582,0.3229665071770335,0.3333333333333333,76,0.15384615384615385,False
meta-llama-3.1-8b-instruct-turbo,418,318,3,6,128,0,50,240,0,0,418,418,0.2602687059570355,0.2496804735570577,0.20334928229665072,0.1949685534591195,76,0.15384615384615385,False
mistral-7b-instruct-v0.2,15,15,1,1,15,0,0,0,0,0,15,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,479,0.9696356275303644,True
mistral-large,100,0,1,2,0,0,0,100,0,0,100,100,0.018621874864373212,,0.0,,394,0.7975708502024291,True
mistral-large-2402,293,293,3,6,128,0,25,140,0,0,293,293,0.31903115954056294,0.31903115954056294,0.25597269624573377,0.25597269624573377,201,0.4068825910931174,True
mistral-large-2407,393,393,3,7,128,0,75,190,0,0,393,393,0.4580614071710771,0.4580614071710771,0.37150127226463103,0.37150127226463103,101,0.20445344129554655,True
mistral-large-2411,418,318,3,6,128,0,50,240,0,0,418,418,0.4692771934784672,0.4713665124888126,0.3588516746411483,0.3836477987421384,76,0.15384615384615385,False
mistral-small-2402,393,393,3,7,128,0,75,190,0,0,393,393,0.2866826128612689,0.2866826128612689,0.21882951653944022,0.21882951653944022,101,0.20445344129554655,True
mistral-small-2409,418,318,3,6,128,0,50,240,0,0,418,418,0.2960213135906521,0.28694887203778463,0.215311004784689,0.20754716981132076,76,0.15384615384615385,False
mistral-small-2501,418,318,3,6,128,0,50,240,0,0,418,418,0.3870989487976096,0.37748693586357046,0.3038277511961722,0.3081761006289308,76,0.15384615384615385,False
mistral-small-2503,418,318,3,6,128,0,50,240,0,0,418,418,0.38100459556488303,0.37383870592562146,0.291866028708134,0.29874213836477986,76,0.15384615384615385,False
mixtral-8x22b-instruct-v0.1,15,15,1,1,15,0,0,0,0,0,15,15,0.2,0.2,0.2,0.2,479,0.9696356275303644,True
mixtral-8x7b-instruct-v0.1,15,15,1,1,15,0,0,0,0,0,15,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,479,0.9696356275303644,True
o1,128,128,1,2,128,0,0,0,0,0,128,128,0.6328125,0.6328125,0.6328125,0.6328125,366,0.7408906882591093,True
o1-2024-12-17-high,418,318,3,6,128,0,50,240,0,0,418,418,0.6745064056147909,0.6987876164430886,0.5645933014354066,0.6226415094339622,76,0.15384615384615385,False
o1-2024-12-17-low,318,318,3,6,128,0,50,140,0,0,318,318,0.613720482423073,0.613720482423073,0.5471698113207547,0.5471698113207547,176,0.3562753036437247,True
o1-2024-12-17-medium,318,318,3,6,128,0,50,140,0,0,318,318,0.6355024392742428,0.6355024392742428,0.5628930817610063,0.5628930817610063,176,0.3562753036437247,True
o1-mini-2024-09-12,493,393,3,7,128,0,75,290,0,0,493,493,0.5115088467735776,0.5466758943334006,0.43204868154158216,0.4707379134860051,1,0.0020242914979757085,False
o1-preview-2024-09-12,393,393,3,7,128,0,75,190,0,0,393,393,0.703186272375447,0.703186272375447,0.628498727735369,0.628498727735369,101,0.20445344129554655,True
o3-mini-2025-01-31-high,418,318,3,6,128,0,50,240,0,0,418,418,0.6362468015682138,0.6931393547467023,0.5669856459330144,0.6383647798742138,76,0.15384615384615385,False
o3-mini-2025-01-31-low,418,318,3,6,128,0,50,240,0,0,418,418,0.5190609803857577,0.5574785316978715,0.45454545454545453,0.4968553459119497,76,0.15384615384615385,False
o3-mini-2025-01-31-medium,418,318,3,6,128,0,50,240,0,0,418,418,0.5666889408064542,0.6151458683240966,0.5023923444976076,0.5566037735849056,76,0.15384615384615385,False
