language_model,default_id,default_sdk_version,metadata_agent_version,scores_swebench_agent_version,default_vs_metadata_match,default_vs_scores_match,metadata_vs_scores_match,actual_evaluation_version_source,upstream_result_directory
MiniMax-M3,OpenHands/MiniMax-M3,v1.18.1,v1.18.1,v1.24.0,True,False,False,scores.json:swe-bench.agent_version,results/MiniMax-M3
Kimi-K2.6,OpenHands/Kimi-K2.6,v1.11.5,v1.11.5,v1.18.1,True,False,False,scores.json:swe-bench.agent_version,results/Kimi-K2.6
claude-sonnet-4-5,OpenHands/claude-sonnet-4-5,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/claude-sonnet-4-5
Qwen3.6-Plus,OpenHands/Qwen3.6-Plus,v1.11.5,v1.11.5,v1.16.1,True,False,False,scores.json:swe-bench.agent_version,results/Qwen3.6-Plus
GLM-5,OpenHands/GLM-5,v1.11.5,v1.11.5,v1.11.5,True,True,True,scores.json:swe-bench.agent_version,results/GLM-5
Kimi-K2.5,OpenHands/Kimi-K2.5,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/Kimi-K2.5
Gemini-3-Pro,OpenHands/Gemini-3-Pro,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/Gemini-3-Pro
Gemini-3-Flash,OpenHands/Gemini-3-Flash,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/Gemini-3-Flash
DeepSeek-V3.2-Reasoner,OpenHands/DeepSeek-V3.2-Reasoner,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/DeepSeek-V3.2-Reasoner
MiniMax-M2.5,OpenHands/MiniMax-M2.5,v0.38.0,v0.38.0,v1.11.3,True,False,False,scores.json:swe-bench.agent_version,results/MiniMax-M2.5
claude-sonnet-4-6,OpenHands/claude-sonnet-4-6,v1.11.5,v1.11.5,v1.11.5,True,True,True,scores.json:swe-bench.agent_version,results/claude-sonnet-4-6
Qwen3-Coder-Next,OpenHands/Qwen3-Coder-Next,v1.11.0,v1.11.0,v1.11.1,True,False,False,scores.json:swe-bench.agent_version,results/Qwen3-Coder-Next
Minimax-2.7,OpenHands/MiniMax-M2.7,v1.14.0,v1.14.0,v1.14.0,True,True,True,scores.json:swe-bench.agent_version,results/MiniMax-M2.7
GLM-4.7,OpenHands/GLM-4.7,v1.8.3,v1.8.3,v1.10.0,True,False,False,scores.json:swe-bench.agent_version,results/GLM-4.7
MiniMax-M2.1,OpenHands/MiniMax-M2.1,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/MiniMax-M2.1
Kimi-K2-Thinking,OpenHands/Kimi-K2-Thinking,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/Kimi-K2-Thinking
DeepSeek-V4-Pro,OpenHands/DeepSeek-V4-Pro,v1.0.0,v1.0.0,v1.22.1,True,False,False,scores.json:swe-bench.agent_version,results/DeepSeek-V4-Pro
Qwen3.5-Flash,OpenHands/Qwen3.5-Flash,v1.11.5,v1.11.5,v1.16.1,True,False,False,scores.json:swe-bench.agent_version,results/Qwen3.5-Flash
Nemotron-3-Super,OpenHands/Nemotron-3-Super,v1.14.0,v1.14.0,v1.16.1,True,False,False,scores.json:swe-bench.agent_version,results/Nemotron-3-Super
Trinity-Large-Thinking,OpenHands/Trinity-Large-Thinking,v1.16.1,v1.16.1,v1.16.1,True,True,True,scores.json:swe-bench.agent_version,results/Trinity-Large-Thinking
Qwen3-Coder-480B,OpenHands/Qwen3-Coder-480B,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/Qwen3-Coder-480B
Nemotron-3-Nano,OpenHands/Nemotron-3-Nano,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/Nemotron-3-Nano
